(74.3681, 7.9146)
(8.7059, 94.2666)
(44.8079, 46.6351)
(16.3553, 19.4695)
(30.0105, 29.8018)
(88.6292, 43.8537)
(66.6811, 5.7973)
(40.1411, 31.4905)
(92.4842, 28.0070)
(9.5360, 88.7381)
(18.9188, 90.3546)
(4.8803, 35.7678)
(33.7315, 25.2274)
(80.7716, 3.7783)
(90.5958, 14.7754)
(20.4136, 79.9970)
(55.5316, 69.5279)
(47.5910, 19.2683)
(5.1387, 20.6921)
(93.7223, 67.6128)
(38.1190, 3.7177)
(17.0746, 98.6319)
(36.0782, 9.5189)
(43.5348, 8.4356)
(74.5624, 68.5160)
(37.8416, 66.8735)
(16.3784, 50.4768)
(75.5197, 68.9177)
(90.5558, 90.6151)
(30.8236, 28.2772)
(46.2632, 4.4948)
(85.4677, 33.7417)
(51.5766, 10.8434)
(96.5541, 55.7673)
(52.8023, 65.3912)
(17.9120, 89.4557)
(2.6561, 50.2249)
(4.2752, 61.5137)
(80.7144, 19.2970)
(87.5402, 74.9808)
(58.9638, 45.5203)
(17.8365, 45.9215)
(48.0217, 43.4430)
(7.7164, 84.9032)
(52.7080, 89.9290)
(17.6216, 93.1446)
(66.1075, 10.8586)
(76.9114, 22.5317)
(36.5914, 86.0364)
(31.1392, 24.9387)
(80.4107, 93.1995)
(75.9158, 12.9309)
(16.6753, 44.4350)
(42.9329, 6.1563)
(32.8756, 96.1120)
(44.9857, 93.1930)
(49.7917, 6.6711)
(80.9196, 13.7446)
(84.2750, 46.8040)
(94.4032, 96.4986)
(55.9824, 97.3589)
(18.0485, 44.4096)
(63.6288, 58.7659)
(25.3657, 2.4923)
(75.0821, 28.5873)
(70.2047, 78.5940)
(13.9941, 32.3784)
(6.6247, 37.8171)
(76.3010, 10.8266)
(39.8376, 11.8806)
(3.9613, 20.9344)
(67.6633, 92.1711)
(44.2970, 71.8180)
(44.5601, 65.6472)
(62.8237, 90.7528)
(10.6800, 79.7654)
(38.9032, 60.8396)
(71.4933, 72.2024)
(87.2648, 66.7668)
(42.1981, 21.3397)
(20.7133, 89.9705)
(32.1934, 2.8931)
(16.8054, 82.2977)
(85.8698, 61.8169)
(83.6234, 96.1035)
(10.7903, 23.1356)
(37.7772, 67.1541)
(15.8522, 83.2521)
(50.8704, 81.4450)
(58.1182, 88.8595)
(83.5131, 21.1853)
(60.0460, 66.7371)
(36.1582, 66.1714)
(93.1631, 43.2623)
(24.4755, 26.1598)
(26.7567, 42.5938)
(11.0891, 29.4400)
(60.9626, 17.7881)
(23.6122, 75.2131)
(49.8112, 94.2153)
(5.8500, 71.1066)
(25.2112, 24.0724)
(58.6900, 27.0381)
(80.5953, 74.1379)
(44.8935, 28.9241)
(84.9077, 2.2845)
(5.2335, 28.9027)
(44.6399, 10.7553)
(16.5857, 64.3152)
(43.7166, 97.3281)
(87.4744, 21.3578)
(63.1692, 83.8925)
(46.7580, 50.7614)
(39.0056, 77.3468)
(77.5314, 30.5718)
(69.5619, 11.8589)
(81.9560, 30.9142)
(39.3412, 33.2613)
(16.6529, 38.3202)
(6.3452, 27.8592)
(9.6260, 75.1465)
(71.3023, 86.2738)
(29.6052, 70.0021)
(6.9557, 62.9178)
(86.0951, 77.7434)
(41.7001, 98.5594)
(39.5281, 30.9940)
(82.1790, 16.9285)
(32.5266, 46.2110)
(44.3009, 3.9753)
(23.9655, 66.4502)
(17.4726, 50.3488)
(17.5634, 90.2465)
(49.7953, 20.7960)
(51.5787, 85.5111)
(31.6767, 58.8441)
(84.3777, 55.5713)
(6.6059, 27.7161)
(56.0109, 10.5467)
(56.6802, 71.0163)
(1,2)
